id,keyword
1,empire
2,galaxy
3,rebellion
4,android
5,hermit
6,smuggling (contraband)
7,freedom
8,rebel
9,rescue mission
10,space
11,planet
12,desert
13,super power
14,oppression
15,space opera
16,wizard
17,totalitarianism
18,spacecraft
19,asteroid
20,space battle
21,snowstorm
22,space colony
23,swamp
24,artic
25,sibling relationship
26,emperor
27,matter of life and death
28,forest
29,senate
30,taskmaster
31,prophecy
32,queen
33,apprentice
34,taxes
35,showdown
36,cult figure
37,vision
38,hatred
39,dream sequence
40,expectant mother
41,chancel
42,army
43,laser gun
44,investigation
45,wedding
46,kendo
47,spaceport
48,teenage rebellion
49,good becoming evil
50,alien race
51,mechanical hand
