id,name,birth_year,eye_color,gender,hair_color,height,mass,skin_color,homeworld,url,created,edited
1,Luke Skywalker,19BBY,blue,male,blond,172,77,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/1/,2014-12-09 13:50:51.644000,2014-12-20 21:17:56.891000
2,C-3PO,112BBY,yellow,n/a,n/a,167,75,gold,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/2/,2014-12-10 15:10:51.357000,2014-12-20 21:17:50.309000
3,R2-D2,33BBY,red,n/a,n/a,96,32,"white, blue",https://swapi.dev/api/planets/8/,https://swapi.dev/api/people/3/,2014-12-10 15:11:50.376000,2014-12-20 21:17:50.311000
4,Darth Vader,41.9BBY,yellow,male,none,202,136,white,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/4/,2014-12-10 15:18:20.704000,2014-12-20 21:17:50.313000
5,Leia Organa,19BBY,brown,female,brown,150,49,light,https://swapi.dev/api/planets/2/,https://swapi.dev/api/people/5/,2014-12-10 15:20:09.791000,2014-12-20 21:17:50.315000
6,Owen Lars,52BBY,blue,male,"brown, grey",178,120,light,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/6/,2014-12-10 15:52:14.024000,2014-12-20 21:17:50.317000
7,Beru Whitesun lars,47BBY,blue,female,brown,165,75,light,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/7/,2014-12-10 15:53:41.121000,2014-12-20 21:17:50.319000
8,R5-D4,unknown,red,n/a,n/a,97,32,"white, red",https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/8/,2014-12-10 15:57:50.959000,2014-12-20 21:17:50.321000
9,Biggs Darklighter,24BBY,brown,male,black,183,84,light,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/9/,2014-12-10 15:59:50.509000,2014-12-20 21:17:50.323000
10,Obi-Wan Kenobi,57BBY,blue-gray,male,"auburn, white",182,77,fair,https://swapi.dev/api/planets/20/,https://swapi.dev/api/people/10/,2014-12-10 16:16:29.192000,2014-12-20 21:17:50.325000
11,Anakin Skywalker,41.9BBY,blue,male,blond,188,84,fair,https://swapi.dev/api/planets/1/,https://swapi.dev/api/people/11/,2014-12-10 16:20:44.310000,2014-12-20 21:17:50.327000
12,Wilhuff Tarkin,64BBY,blue,male,"auburn, grey",180,unknown,fair,https://swapi.dev/api/planets/21/,https://swapi.dev/api/people/12/,2014-12-10 16:26:56.138000,2014-12-20 21:17:50.330000
13,Chewbacca,200BBY,blue,male,brown,228,112,unknown,https://swapi.dev/api/planets/14/,https://swapi.dev/api/people/13/,2014-12-10 16:42:45.066000,2014-12-20 21:17:50.332000
