id,name,classification,designation,average_height,average_lifespan,eye_colors,hair_colors,skin_colors,language,homeworld,url,created,edited
1,Human,mammal,sentient,180,120,"brown, blue, green, hazel, grey, amber","blonde, brown, black, red","caucasian, black, asian, hispanic",Galactic Basic,https://swapi.dev/api/planets/9/,https://swapi.dev/api/species/1/,2014-12-10 13:52:11.567000,2014-12-20 21:36:42.136000
2,Droid,artificial,sentient,n/a,indefinite,n/a,n/a,n/a,n/a,,https://swapi.dev/api/species/2/,2014-12-10 15:16:16.259000,2014-12-20 21:36:42.139000
3,Wookie,mammal,sentient,210,400,"blue, green, yellow, brown, golden, red","black, brown",gray,Shyriiwook,https://swapi.dev/api/planets/14/,https://swapi.dev/api/species/3/,2014-12-10 16:44:31.486000,2014-12-20 21:36:42.142000
4,Rodian,sentient,reptilian,170,unknown,black,n/a,"green, blue",Galatic Basic,https://swapi.dev/api/planets/23/,https://swapi.dev/api/species/4/,2014-12-10 17:05:26.471000,2014-12-20 21:36:42.144000
5,Hutt,gastropod,sentient,300,1000,"yellow, red",n/a,"green, brown, tan",Huttese,https://swapi.dev/api/planets/24/,https://swapi.dev/api/species/5/,2014-12-10 17:12:50.410000,2014-12-20 21:36:42.146000
6,Yoda's species,mammal,sentient,66,900,"brown, green, yellow","brown, white","green, yellow",Galactic basic,https://swapi.dev/api/planets/28/,https://swapi.dev/api/species/6/,2014-12-15 12:27:22.877000,2014-12-20 21:36:42.148000
7,Trandoshan,reptile,sentient,200,unknown,"yellow, orange",none,"brown, green",Dosh,https://swapi.dev/api/planets/29/,https://swapi.dev/api/species/7/,2014-12-15 13:07:47.704000,2014-12-20 21:36:42.151000
8,Mon Calamari,amphibian,sentient,160,unknown,yellow,none,"red, blue, brown, magenta",Mon Calamarian,https://swapi.dev/api/planets/31/,https://swapi.dev/api/species/8/,2014-12-18 11:09:52.263000,2014-12-20 21:36:42.153000
9,Ewok,mammal,sentient,100,unknown,"orange, brown","white, brown, black",brown,Ewokese,https://swapi.dev/api/planets/7/,https://swapi.dev/api/species/9/,2014-12-18 11:22:00.285000,2014-12-20 21:36:42.155000
10,Sullustan,mammal,sentient,180,unknown,black,none,pale,Sullutese,https://swapi.dev/api/planets/33/,https://swapi.dev/api/species/10/,2014-12-18 11:26:20.103000,2014-12-20 21:36:42.157000
11,Neimodian,unknown,sentient,180,unknown,"red, pink",none,"grey, green",Neimoidia,https://swapi.dev/api/planets/18/,https://swapi.dev/api/species/11/,2014-12-19 17:07:31.319000,2014-12-20 21:36:42.160000
12,Gungan,amphibian,sentient,190,unknown,orange,none,"brown, green",Gungan basic,https://swapi.dev/api/planets/8/,https://swapi.dev/api/species/12/,2014-12-19 17:30:37.341000,2014-12-20 21:36:42.163000
13,Toydarian,mammal,sentient,120,91,yellow,none,"blue, green, grey",Toydarian,https://swapi.dev/api/planets/34/,https://swapi.dev/api/species/13/,2014-12-19 17:48:56.893000,2014-12-20 21:36:42.165000
14,Dug,mammal,sentient,100,unknown,"yellow, blue",none,"brown, purple, grey, red",Dugese,https://swapi.dev/api/planets/35/,https://swapi.dev/api/species/14/,2014-12-19 17:53:11.214000,2014-12-20 21:36:42.167000
15,Twi'lek,mammals,sentient,200,unknown,"blue, brown, orange, pink",none,"orange, yellow, blue, green, pink, purple, tan",Twi'leki,https://swapi.dev/api/planets/37/,https://swapi.dev/api/species/15/,2014-12-20 09:48:02.406000,2014-12-20 21:36:42.169000
16,Aleena,reptile,sentient,80,79,unknown,none,"blue, gray",Aleena,https://swapi.dev/api/planets/38/,https://swapi.dev/api/species/16/,2014-12-20 09:53:16.481000,2014-12-20 21:36:42.171000
17,Vulptereen,unknown,sentient,100,unknown,yellow,none,grey,vulpterish,https://swapi.dev/api/planets/39/,https://swapi.dev/api/species/17/,2014-12-20 09:57:33.128000,2014-12-20 21:36:42.173000
18,Xexto,unknown,sentient,125,unknown,black,none,"grey, yellow, purple",Xextese,https://swapi.dev/api/planets/40/,https://swapi.dev/api/species/18/,2014-12-20 10:02:13.915000,2014-12-20 21:36:42.175000
19,Toong,unknown,sentient,200,unknown,orange,none,"grey, green, yellow",Tundan,https://swapi.dev/api/planets/41/,https://swapi.dev/api/species/19/,2014-12-20 10:08:36.795000,2014-12-20 21:36:42.177000
20,Cerean,mammal,sentient,200,unknown,hazel,"red, blond, black, white",pale pink,Cerean,https://swapi.dev/api/planets/43/,https://swapi.dev/api/species/20/,2014-12-20 10:15:33.765000,2014-12-20 21:36:42.179000
21,Nautolan,amphibian,sentient,180,70,black,none,"green, blue, brown, red",Nautila,https://swapi.dev/api/planets/44/,https://swapi.dev/api/species/21/,2014-12-20 10:18:58.610000,2014-12-20 21:36:42.181000
22,Zabrak,mammal,sentient,180,unknown,"brown, orange",black,"pale, brown, red, orange, yellow",Zabraki,https://swapi.dev/api/planets/45/,https://swapi.dev/api/species/22/,2014-12-20 10:26:59.894000,2014-12-20 21:36:42.183000
23,Tholothian,mammal,sentient,unknown,unknown,"blue, indigo",unknown,dark,unknown,https://swapi.dev/api/planets/46/,https://swapi.dev/api/species/23/,2014-12-20 10:29:13.798000,2014-12-20 21:36:42.186000
24,Iktotchi,unknown,sentient,180,unknown,orange,none,pink,Iktotchese,https://swapi.dev/api/planets/47/,https://swapi.dev/api/species/24/,2014-12-20 10:32:13.046000,2014-12-20 21:36:42.188000
25,Quermian,mammal,sentient,240,86,yellow,none,white,Quermian,https://swapi.dev/api/planets/48/,https://swapi.dev/api/species/25/,2014-12-20 10:34:50.827000,2014-12-20 21:36:42.189000
26,Kel Dor,unknown,sentient,180,70,"black, silver",none,"peach, orange, red",Kel Dor,https://swapi.dev/api/planets/49/,https://swapi.dev/api/species/26/,2014-12-20 10:49:21.692000,2014-12-20 21:36:42.191000
27,Chagrian,amphibian,sentient,190,unknown,blue,none,blue,Chagria,https://swapi.dev/api/planets/50/,https://swapi.dev/api/species/27/,2014-12-20 10:53:28.795000,2014-12-20 21:36:42.193000
28,Geonosian,insectoid,sentient,178,unknown,"green, hazel",none,"green, brown",Geonosian,https://swapi.dev/api/planets/11/,https://swapi.dev/api/species/28/,2014-12-20 16:40:45.618000,2014-12-20 21:36:42.195000
29,Mirialan,mammal,sentient,180,unknown,"blue, green, red, yellow, brown, orange","black, brown","yellow, green",Mirialan,https://swapi.dev/api/planets/51/,https://swapi.dev/api/species/29/,2014-12-20 16:46:48.290000,2014-12-20 21:36:42.197000
30,Clawdite,reptilian,sentient,180,70,yellow,none,"green, yellow",Clawdite,https://swapi.dev/api/planets/54/,https://swapi.dev/api/species/30/,2014-12-20 16:57:46.171000,2014-12-20 21:36:42.199000
